id,model_id,city,province,region,sales_volume,year,month,created_at
1,1,北京,北京,华北,1332,2026,7,2026-08-30 16:19:31
2,1,杭州,浙江,华东,1553,2026,7,2026-08-30 16:19:31
3,1,重庆,重庆,西南,2958,2026,7,2026-08-30 16:19:31
4,1,成都,四川,西南,2814,2026,7,2026-08-30 16:19:31
5,1,郑州,河南,华中,2290,2026,7,2026-08-30 16:19:31
6,1,宁波,浙江,华东,628,2026,7,2026-08-30 16:19:31
7,1,武汉,湖北,华中,1229,2026,7,2026-08-30 16:19:31
8,1,沈阳,辽宁,东北,1572,2026,7,2026-08-30 16:19:31
9,1,东莞,广东,华南,1983,2026,7,2026-08-30 16:19:31
10,1,天津,天津,华北,1049,2026,7,2026-08-30 16:19:31
11,1,南京,江苏,华东,847,2026,7,2026-08-30 16:19:31
12,2,青岛,山东,华东,100,2026,7,2026-08-30 16:19:31
13,2,天津,天津,华北,2941,2026,7,2026-08-30 16:19:31
14,2,大连,辽宁,东北,1068,2026,7,2026-08-30 16:19:31
15,2,北京,北京,华北,687,2026,7,2026-08-30 16:19:31
16,2,深圳,广东,华南,206,2026,7,2026-08-30 16:19:31
17,2,成都,四川,西南,2183,2026,7,2026-08-30 16:19:31
18,2,郑州,河南,华中,2951,2026,7,2026-08-30 16:19:31
19,2,昆明,云南,西南,2618,2026,7,2026-08-30 16:19:31
20,2,苏州,江苏,华东,453,2026,7,2026-08-30 16:19:31
21,2,沈阳,辽宁,东北,343,2026,7,2026-08-30 16:19:31
22,3,广州,广东,华南,2408,2026,7,2026-08-30 16:19:31
23,3,北京,北京,华北,2380,2026,7,2026-08-30 16:19:31
24,3,天津,天津,华北,1653,2026,7,2026-08-30 16:19:31
25,3,杭州,浙江,华东,2937,2026,7,2026-08-30 16:19:31
26,3,长沙,湖南,华中,1225,2026,7,2026-08-30 16:19:31
27,3,沈阳,辽宁,东北,1992,2026,7,2026-08-30 16:19:31
28,3,武汉,湖北,华中,1535,2026,7,2026-08-30 16:19:31
29,3,西安,陕西,西北,2097,2026,7,2026-08-30 16:19:31
30,3,重庆,重庆,西南,1177,2026,7,2026-08-30 16:19:31
31,3,宁波,浙江,华东,2352,2026,7,2026-08-30 16:19:31
32,3,苏州,江苏,华东,1948,2026,7,2026-08-30 16:19:31
33,4,天津,天津,华北,2629,2026,7,2026-08-30 16:19:31
34,4,郑州,河南,华中,2768,2026,7,2026-08-30 16:19:31
35,4,成都,四川,西南,796,2026,7,2026-08-30 16:19:31
36,4,昆明,云南,西南,109,2026,7,2026-08-30 16:19:31
37,4,北京,北京,华北,2887,2026,7,2026-08-30 16:19:31
38,4,东莞,广东,华南,565,2026,7,2026-08-30 16:19:31
39,4,苏州,江苏,华东,1472,2026,7,2026-08-30 16:19:31
40,4,杭州,浙江,华东,1033,2026,7,2026-08-30 16:19:31
41,4,南京,江苏,华东,1892,2026,7,2026-08-30 16:19:31
42,4,上海,上海,华东,1514,2026,7,2026-08-30 16:19:31
43,4,长沙,湖南,华中,1221,2026,7,2026-08-30 16:19:31
44,4,广州,广东,华南,375,2026,7,2026-08-30 16:19:31
45,5,大连,辽宁,东北,944,2026,7,2026-08-30 16:19:31
46,5,昆明,云南,西南,838,2026,7,2026-08-30 16:19:31
47,5,成都,四川,西南,558,2026,7,2026-08-30 16:19:31
48,5,杭州,浙江,华东,2212,2026,7,2026-08-30 16:19:31
49,5,郑州,河南,华中,2405,2026,7,2026-08-30 16:19:31
50,5,长沙,湖南,华中,2513,2026,7,2026-08-30 16:19:31
51,5,北京,北京,华北,2002,2026,7,2026-08-30 16:19:31
52,5,重庆,重庆,西南,2027,2026,7,2026-08-30 16:19:31
53,5,上海,上海,华东,2211,2026,7,2026-08-30 16:19:31
54,5,宁波,浙江,华东,1843,2026,7,2026-08-30 16:19:31
55,5,东莞,广东,华南,2951,2026,7,2026-08-30 16:19:31
56,5,武汉,湖北,华中,1572,2026,7,2026-08-30 16:19:31
57,6,苏州,江苏,华东,883,2026,7,2026-08-30 16:19:31
58,6,上海,上海,华东,2007,2026,7,2026-08-30 16:19:31
59,6,西安,陕西,西北,2834,2026,7,2026-08-30 16:19:31
60,6,宁波,浙江,华东,1844,2026,7,2026-08-30 16:19:31
61,6,东莞,广东,华南,1241,2026,7,2026-08-30 16:19:31
62,6,深圳,广东,华南,2030,2026,7,2026-08-30 16:19:31
63,6,长沙,湖南,华中,2873,2026,7,2026-08-30 16:19:31
64,6,天津,天津,华北,2112,2026,7,2026-08-30 16:19:31
65,6,南京,江苏,华东,1575,2026,7,2026-08-30 16:19:31
66,6,武汉,湖北,华中,1612,2026,7,2026-08-30 16:19:31
67,6,成都,四川,西南,2353,2026,7,2026-08-30 16:19:31
68,7,广州,广东,华南,174,2026,7,2026-08-30 16:19:31
69,7,成都,四川,西南,2121,2026,7,2026-08-30 16:19:31
70,7,北京,北京,华北,1457,2026,7,2026-08-30 16:19:31
71,7,郑州,河南,华中,169,2026,7,2026-08-30 16:19:31
72,7,东莞,广东,华南,2804,2026,7,2026-08-30 16:19:31
73,7,宁波,浙江,华东,136,2026,7,2026-08-30 16:19:31
74,7,苏州,江苏,华东,604,2026,7,2026-08-30 16:19:31
75,7,长沙,湖南,华中,755,2026,7,2026-08-30 16:19:31
76,7,杭州,浙江,华东,2465,2026,7,2026-08-30 16:19:31
77,7,昆明,云南,西南,431,2026,7,2026-08-30 16:19:31
78,7,大连,辽宁,东北,2980,2026,7,2026-08-30 16:19:31
79,7,青岛,山东,华东,265,2026,7,2026-08-30 16:19:31
80,7,西安,陕西,西北,433,2026,7,2026-08-30 16:19:31
81,8,苏州,江苏,华东,2601,2026,7,2026-08-30 16:19:31
82,8,武汉,湖北,华中,1908,2026,7,2026-08-30 16:19:31
83,8,重庆,重庆,西南,1289,2026,7,2026-08-30 16:19:31
84,8,宁波,浙江,华东,2501,2026,7,2026-08-30 16:19:31
85,8,北京,北京,华北,127,2026,7,2026-08-30 16:19:31
86,8,郑州,河南,华中,2918,2026,7,2026-08-30 16:19:31
87,8,杭州,浙江,华东,1114,2026,7,2026-08-30 16:19:31
88,8,东莞,广东,华南,993,2026,7,2026-08-30 16:19:31
89,8,大连,辽宁,东北,267,2026,7,2026-08-30 16:19:31
90,8,深圳,广东,华南,2047,2026,7,2026-08-30 16:19:31
91,8,成都,四川,西南,1116,2026,7,2026-08-30 16:19:31
92,8,昆明,云南,西南,1426,2026,7,2026-08-30 16:19:31
93,8,沈阳,辽宁,东北,1301,2026,7,2026-08-30 16:19:31
94,8,西安,陕西,西北,1488,2026,7,2026-08-30 16:19:31
95,8,上海,上海,华东,1344,2026,7,2026-08-30 16:19:31
96,9,上海,上海,华东,1470,2026,7,2026-08-30 16:19:31
97,9,成都,四川,西南,367,2026,7,2026-08-30 16:19:31
98,9,宁波,浙江,华东,1153,2026,7,2026-08-30 16:19:31
99,9,广州,广东,华南,2839,2026,7,2026-08-30 16:19:31
100,9,杭州,浙江,华东,2124,2026,7,2026-08-30 16:19:31
101,9,北京,北京,华北,818,2026,7,2026-08-30 16:19:31
102,9,武汉,湖北,华中,2583,2026,7,2026-08-30 16:19:31
103,9,东莞,广东,华南,1062,2026,7,2026-08-30 16:19:31
104,9,沈阳,辽宁,东北,634,2026,7,2026-08-30 16:19:31
105,9,苏州,江苏,华东,2244,2026,7,2026-08-30 16:19:31
106,9,深圳,广东,华南,1334,2026,7,2026-08-30 16:19:31
107,10,北京,北京,华北,1781,2026,7,2026-08-30 16:19:31
108,10,天津,天津,华北,1540,2026,7,2026-08-30 16:19:31
109,10,长沙,湖南,华中,2359,2026,7,2026-08-30 16:19:31
110,10,东莞,广东,华南,2951,2026,7,2026-08-30 16:19:31
111,10,武汉,湖北,华中,1210,2026,7,2026-08-30 16:19:31
112,10,郑州,河南,华中,445,2026,7,2026-08-30 16:19:31
113,10,杭州,浙江,华东,2294,2026,7,2026-08-30 16:19:31
114,10,上海,上海,华东,1185,2026,7,2026-08-30 16:19:31
115,10,广州,广东,华南,2502,2026,7,2026-08-30 16:19:31
116,10,沈阳,辽宁,东北,1246,2026,7,2026-08-30 16:19:31
117,10,成都,四川,西南,2120,2026,7,2026-08-30 16:19:31
118,11,南京,江苏,华东,2849,2026,7,2026-08-30 16:19:31
119,11,郑州,河南,华中,539,2026,7,2026-08-30 16:19:31
120,11,天津,天津,华北,1279,2026,7,2026-08-30 16:19:31
121,11,沈阳,辽宁,东北,1935,2026,7,2026-08-30 16:19:31
122,11,武汉,湖北,华中,2086,2026,7,2026-08-30 16:19:31
123,11,深圳,广东,华南,303,2026,7,2026-08-30 16:19:31
124,11,长沙,湖南,华中,1225,2026,7,2026-08-30 16:19:31
125,11,广州,广东,华南,1084,2026,7,2026-08-30 16:19:31
126,11,宁波,浙江,华东,2729,2026,7,2026-08-30 16:19:31
127,11,苏州,江苏,华东,238,2026,7,2026-08-30 16:19:31
128,11,杭州,浙江,华东,233,2026,7,2026-08-30 16:19:31
129,11,青岛,山东,华东,1379,2026,7,2026-08-30 16:19:31
130,11,成都,四川,西南,2511,2026,7,2026-08-30 16:19:31
131,12,昆明,云南,西南,1708,2026,7,2026-08-30 16:19:31
132,12,郑州,河南,华中,1426,2026,7,2026-08-30 16:19:31
133,12,成都,四川,西南,165,2026,7,2026-08-30 16:19:31
134,12,沈阳,辽宁,东北,2113,2026,7,2026-08-30 16:19:31
135,12,大连,辽宁,东北,2043,2026,7,2026-08-30 16:19:31
136,12,长沙,湖南,华中,1117,2026,7,2026-08-30 16:19:31
137,12,南京,江苏,华东,1560,2026,7,2026-08-30 16:19:31
138,12,苏州,江苏,华东,1043,2026,7,2026-08-30 16:19:31
139,12,杭州,浙江,华东,1311,2026,7,2026-08-30 16:19:31
140,12,上海,上海,华东,321,2026,7,2026-08-30 16:19:31
141,12,宁波,浙江,华东,1607,2026,7,2026-08-30 16:19:31
142,12,西安,陕西,西北,1003,2026,7,2026-08-30 16:19:31
143,12,东莞,广东,华南,2634,2026,7,2026-08-30 16:19:31
144,12,武汉,湖北,华中,701,2026,7,2026-08-30 16:19:31
145,13,重庆,重庆,西南,134,2026,7,2026-08-30 16:19:31
146,13,深圳,广东,华南,742,2026,7,2026-08-30 16:19:31
147,13,青岛,山东,华东,2988,2026,7,2026-08-30 16:19:31
148,13,武汉,湖北,华中,112,2026,7,2026-08-30 16:19:31
149,13,昆明,云南,西南,441,2026,7,2026-08-30 16:19:31
150,13,成都,四川,西南,2573,2026,7,2026-08-30 16:19:31
151,13,宁波,浙江,华东,1637,2026,7,2026-08-30 16:19:31
152,13,东莞,广东,华南,658,2026,7,2026-08-30 16:19:31
153,13,北京,北京,华北,801,2026,7,2026-08-30 16:19:31
154,13,南京,江苏,华东,2722,2026,7,2026-08-30 16:19:31
155,13,沈阳,辽宁,东北,1846,2026,7,2026-08-30 16:19:31
156,14,大连,辽宁,东北,128,2026,7,2026-08-30 16:19:31
157,14,南京,江苏,华东,719,2026,7,2026-08-30 16:19:31
158,14,沈阳,辽宁,东北,1263,2026,7,2026-08-30 16:19:31
159,14,重庆,重庆,西南,1579,2026,7,2026-08-30 16:19:31
160,14,昆明,云南,西南,115,2026,7,2026-08-30 16:19:31
161,14,青岛,山东,华东,626,2026,7,2026-08-30 16:19:31
162,14,长沙,湖南,华中,2706,2026,7,2026-08-30 16:19:31
163,14,广州,广东,华南,2323,2026,7,2026-08-30 16:19:31
164,14,宁波,浙江,华东,1340,2026,7,2026-08-30 16:19:31
165,14,西安,陕西,西北,1611,2026,7,2026-08-30 16:19:31
166,14,郑州,河南,华中,2684,2026,7,2026-08-30 16:19:31
167,14,上海,上海,华东,2317,2026,7,2026-08-30 16:19:31
168,15,西安,陕西,西北,427,2026,7,2026-08-30 16:19:31
169,15,北京,北京,华北,483,2026,7,2026-08-30 16:19:31
170,15,广州,广东,华南,2737,2026,7,2026-08-30 16:19:31
171,15,上海,上海,华东,1209,2026,7,2026-08-30 16:19:31
172,15,东莞,广东,华南,1105,2026,7,2026-08-30 16:19:31
173,15,南京,江苏,华东,1544,2026,7,2026-08-30 16:19:31
174,15,长沙,湖南,华中,2460,2026,7,2026-08-30 16:19:31
175,15,天津,天津,华北,2137,2026,7,2026-08-30 16:19:31
176,15,青岛,山东,华东,544,2026,7,2026-08-30 16:19:31
177,15,杭州,浙江,华东,494,2026,7,2026-08-30 16:19:31
178,15,昆明,云南,西南,1002,2026,7,2026-08-30 16:19:31
179,15,沈阳,辽宁,东北,1949,2026,7,2026-08-30 16:19:31
180,16,南京,江苏,华东,467,2026,7,2026-08-30 16:19:31
181,16,西安,陕西,西北,1221,2026,7,2026-08-30 16:19:31
182,16,成都,四川,西南,734,2026,7,2026-08-30 16:19:31
183,16,广州,广东,华南,2992,2026,7,2026-08-30 16:19:31
184,16,长沙,湖南,华中,457,2026,7,2026-08-30 16:19:31
185,16,苏州,江苏,华东,1512,2026,7,2026-08-30 16:19:31
186,16,重庆,重庆,西南,2249,2026,7,2026-08-30 16:19:31
187,16,东莞,广东,华南,2423,2026,7,2026-08-30 16:19:31
188,16,青岛,山东,华东,821,2026,7,2026-08-30 16:19:31
189,16,深圳,广东,华南,1185,2026,7,2026-08-30 16:19:31
190,16,宁波,浙江,华东,2649,2026,7,2026-08-30 16:19:31
191,17,成都,四川,西南,1834,2026,7,2026-08-30 16:19:31
192,17,东莞,广东,华南,1027,2026,7,2026-08-30 16:19:31
193,17,杭州,浙江,华东,2722,2026,7,2026-08-30 16:19:31
194,17,深圳,广东,华南,2792,2026,7,2026-08-30 16:19:31
195,17,上海,上海,华东,1832,2026,7,2026-08-30 16:19:31
196,17,广州,广东,华南,949,2026,7,2026-08-30 16:19:31
197,17,苏州,江苏,华东,1953,2026,7,2026-08-30 16:19:31
198,17,青岛,山东,华东,256,2026,7,2026-08-30 16:19:31
199,17,昆明,云南,西南,2594,2026,7,2026-08-30 16:19:31
200,17,西安,陕西,西北,1467,2026,7,2026-08-30 16:19:31
201,17,南京,江苏,华东,686,2026,7,2026-08-30 16:19:31
202,17,重庆,重庆,西南,566,2026,7,2026-08-30 16:19:31
203,17,长沙,湖南,华中,1855,2026,7,2026-08-30 16:19:31
204,18,宁波,浙江,华东,486,2026,7,2026-08-30 16:19:31
205,18,深圳,广东,华南,575,2026,7,2026-08-30 16:19:31
206,18,南京,江苏,华东,655,2026,7,2026-08-30 16:19:31
207,18,青岛,山东,华东,2386,2026,7,2026-08-30 16:19:31
208,18,东莞,广东,华南,1305,2026,7,2026-08-30 16:19:31
209,18,上海,上海,华东,1519,2026,7,2026-08-30 16:19:31
210,18,成都,四川,西南,2180,2026,7,2026-08-30 16:19:31
